SiteDir,SiteLine,LineNo,SiteID,IDNo,Type,Height,Start,End,Except
W,3,4,W3-4,26,PC,10,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,5,PC,10,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,16,PC,10,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,23,PC,50,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,2310825,WM,210,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,2310821,WM,170,2019/4/27 15:03,2019/4/30 7:50,
W,3,4,W3-4,2310830,WM,114,2019/4/27 15:03,2019/4/30 7:50,
W,3,3,W3-3,25,PC,10,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,14,PC,10,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,8,PC,10,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,4,PC,47,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,2134337,WM,220,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,2415340,WM,165,2019/4/27 16:00,2019/4/30 8:45,
W,3,3,W3-3,2415332,WM,117,2019/4/27 16:00,2019/4/30 8:45,
S,1,6,S1-6,17,PC,10,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,11,PC,10,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,22,PC,10,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,20,PC,46,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,2310820,WM,217,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,2313274,WM,163,2019/4/27 17:13,2019/4/30 9:43,
S,1,6,S1-6,2135002,WM,113,2019/4/27 17:13,2019/4/30 9:43,
S,2,4,S2-4,27,PC,10,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,7,PC,10,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,24,PC,10,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,3,PC,50,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,2310837,WM,166,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,2310827,WM,220,2019/4/27 18:30,2019/4/30 10:10,
S,2,4,S2-4,2134338,WM,120,2019/4/27 18:30,2019/4/30 10:10,
W,2,5,W2-5,28,PC,10,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,2,PC,10,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,9,PC,10,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,12,PC,50,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,2310834,WM,210,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,2415333,WM,165,2019/4/28 9:25,2019/5/1 8:00,
W,2,5,W2-5,2415338,WM,115,2019/4/28 9:25,2019/5/1 8:00,
N,1,4,N1-4,13,PC,10,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,29,PC,10,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,0,PC,10,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,21,PC,48,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,2310831,WM,163,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,2415337,WM,217,2019/4/28 13:45,2019/5/1 13:30,
N,1,4,N1-4,2134336,WM,113,2019/4/28 13:45,2019/5/1 13:30,
B,1,0,B1,15,PC,10,2019/4/28 17:05,2019/5/1 11:16,
B,1,0,B1,6,PC,10,2019/4/28 17:01,2019/5/1 11:12,
B,1,0,B1,10,PC,10,2019/4/28 17:02,2019/5/1 11:10,
B,1,0,B1,18,PC,50,2019/4/28 16:58,2019/5/1 11:14,
B,1,0,B1,2415341,WM,213,2019/4/28 16:54,2019/5/1 11:09,
B,1,0,B1,2409225,WM,170,2019/4/28 16:50,2019/5/1 11:17,
B,1,0,B1,2122789,WM,113,2019/4/28 16:55,2019/5/1 11:21,
B,2,0,B2,24,PC,10,2019/4/30 12:40,2019/5/4 11:28,
B,2,0,B2,7,PC,10,2019/4/30 12:40,2019/5/4 11:28,
B,2,0,B2,17,PC,10,2019/4/30 12:40,2019/5/4 11:28,
B,2,0,B2,11,PC,50,2019/4/30 12:40,2019/5/4 11:28,
B,2,0,B2,2310837,WM,215,2019/4/30 15:30,2019/5/4 11:28,
B,2,0,B2,2134338,WM,165,2019/4/30 15:30,2019/5/4 11:28,
B,2,0,B2,2310827,WM,117,2019/4/30 15:30,2019/5/4 11:28,
N,3,5,N3-5,22,PC,10,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,27,PC,10,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,20,PC,10,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,3,PC,50,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,2415340,WM,215,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,2135002,WM,170,2019/4/30 15:30,2019/5/4 13:32,
N,3,5,N3-5,2134337,WM,117,2019/4/30 15:30,2019/5/4 13:32,
N,3,4,N3-4,4,PC,10,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,5,PC,10,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,26,PC,10,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,8,PC,54,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,2310825,WM,215,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,2310830,WM,168,2019/4/30 17:07,2019/5/4 8:27,
N,3,4,N3-4,2313274,WM,117,2019/4/30 17:07,2019/5/4 8:27,
B,3,0,B3,14,PC,10,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,25,PC,10,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,16,PC,10,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,23,PC,60,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,2415332,WM,220,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,2310821,WM,165,2019/4/30 19:25,2019/5/4 9:30,
B,3,0,B3,2310820,WM,116,2019/4/30 19:25,2019/5/4 9:30,
S,1,4,S1-4,9,PC,10,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,12,PC,10,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,28,PC,10,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,2,PC,47,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,2415338,WM,215,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,2310834,WM,170,2019/5/1 10:29,2019/5/5 8:30,
S,1,4,S1-4,2415333,WM,113,2019/5/1 10:29,2019/5/5 8:30,
N,2,5,N2-5,13,PC,10,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,0,PC,10,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,29,PC,10,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,21,PC,48,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,2310831,WM,215,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,2134336,WM,166,2019/5/1 15:55,2019/5/4 7:50,
N,2,5,N2-5,2415337,WM,117,2019/5/1 15:55,2019/5/4 7:50,
B,3,0,B3,14,PC,10,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,25,PC,10,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,16,PC,10,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,23,PC,60,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,2415332,WM,220,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,2310821,WM,165,2019/5/4 10:36,2019/5/11 11:14,
B,3,0,B3,2310820,WM,116,2019/5/4 10:36,2019/5/11 11:14,
B,2,0,B2,24,PC,10,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,7,PC,10,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,17,PC,10,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,11,PC,50,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,2310837,WM,215,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,2134338,WM,165,2019/5/4 12:20,2019/5/10 9:15,
B,2,0,B2,2310827,WM,117,2019/5/4 12:20,2019/5/10 9:15,
S,1,3,S1-3,22,PC,8,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,27,PC,5,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,3,PC,6,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,26,PC,48,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,2313274,WM,213,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,2134337,WM,166,2019/5/4 15:30,2019/5/11 8:45,
S,1,3,S1-3,2415340,WM,116,2019/5/4 15:30,2019/5/11 8:45,
S,1,1,S1-1,13,PC,4,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,4,PC,8,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,20,PC,10,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,29,PC,48,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,2310831,WM,215,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,2415337,WM,166,2019/5/4 16:48,2019/5/11 9:01,
S,1,1,S1-1,2310830,WM,116,2019/5/4 16:48,2019/5/11 9:01,
N,2,2,N2-2,5,PC,10,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,8,PC,10,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,0,PC,10,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,21,PC,50,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,2135002,WM,217,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,2310825,WM,166,2019/5/4 18:40,2019/5/10 15:00,
N,2,2,N2-2,2134336,WM,120,2019/5/4 18:40,2019/5/10 15:00,
B,1,0,B1,15,PC,10,2019/5/1 12:05,2019/5/5 9:20,
B,1,0,B1,6,PC,10,2019/5/1 12:05,2019/5/4 11:20,
B,1,0,B1,10,PC,10,2019/5/1 12:05,2019/5/5 9:20,
B,1,0,B1,18,PC,50,2019/5/1 12:05,2019/5/4 11:20,
B,1,0,B1,6,PC,50,2019/5/4 11:20,2019/5/5 9:20,
B,1,0,B1,2415341,WM,213,2019/5/1 12:05,2019/5/5 9:20,
B,1,0,B1,2409225,WM,170,2019/5/1 12:05,2019/5/5 9:20,
B,1,0,B1,2122789,WM,113,2019/5/1 12:05,2019/5/5 9:20,
B,1,0,B1,15,PC,10,2019/5/5 11:56,2019/5/8 15:20,
B,1,0,B1,6,PC,50,2019/5/5 11:56,2019/5/10 13:15,
B,1,0,B1,10,PC,10,2019/5/5 11:56,2019/5/10 13:15,
B,1,0,B1,2415341,WM,213,2019/5/5 11:56,2019/5/10 13:15,
B,1,0,B1,2409225,WM,170,2019/5/5 11:56,2019/5/10 13:15,
B,1,0,B1,2122789,WM,113,2019/5/5 11:56,2019/5/10 13:15,
W,2,3,W2-3,9,PC,8,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,2,PC,6,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,12,PC,7,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,28,PC,47,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,2415338,WM,220,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,2415333,WM,164,2019/5/5 15:23,2019/5/11 7:43,
W,2,3,W2-3,2310834,WM,117,2019/5/5 15:23,2019/5/11 7:43,
B,2,0,B2,24,PC,10,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,7,PC,10,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,17,PC,10,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,11,PC,50,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,2310837,WM,215,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,2134338,WM,165,2019/5/10 11:45,2019/5/11 11:33,
B,2,0,B2,2310827,WM,117,2019/5/10 11:45,2019/5/11 11:33,
N,2,3,N2-3,15,PC,6,2019/5/10 14:50,2019/5/11 9:57,
N,2,3,N2-3,6,PC,6,2019/5/10 14:50,2019/5/11 9:57,
N,2,3,N2-3,10,PC,50,2019/5/10 14:50,2019/5/11 9:57,
N,2,3,N2-3,2415341,WM,214,2019/5/10 14:50,2019/5/11 9:57,
N,2,3,N2-3,2409225,WM,166,2019/5/10 14:50,2019/5/11 9:57,
N,2,3,N2-3,2122789,WM,116,2019/5/10 14:50,2019/5/11 9:57,
N,2,1,N2-1,8,PC,8,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,21,PC,9,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,0,PC,9,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,5,PC,53,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,2134336,WM,214,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,2310825,WM,163,2019/5/10 16:10,2019/5/11 10:24,
N,2,1,N2-1,2135002,WM,117,2019/5/10 16:10,2019/5/11 10:24,
