Time,WS_115,WD_115
2019-04-28 09:25:00,7.1,187.0
2019-04-28 09:25:10,,
2019-04-28 09:25:20,,
2019-04-28 09:25:30,7.0,195.0
2019-04-28 09:25:40,,
2019-04-28 09:25:50,,
2019-04-28 09:26:00,5.8,197.0
2019-04-28 09:26:10,,
2019-04-28 09:26:20,,
2019-04-28 09:26:30,6.1,181.0
2019-04-28 09:26:40,,
2019-04-28 09:26:50,,
2019-04-28 09:27:00,4.9,192.0
2019-04-28 09:27:10,,
2019-04-28 09:27:20,,
2019-04-28 09:27:30,7.5,190.0
2019-04-28 09:27:40,,
2019-04-28 09:27:50,,
2019-04-28 09:28:00,5.8,193.0
2019-04-28 09:28:10,,
2019-04-28 09:28:20,,
2019-04-28 09:28:30,5.5,190.0
2019-04-28 09:28:40,,
2019-04-28 09:28:50,,
2019-04-28 09:29:00,9.4,190.0
2019-04-28 09:29:10,,
2019-04-28 09:29:20,,
2019-04-28 09:29:30,5.8,185.0
2019-04-28 09:29:40,,
2019-04-28 09:29:50,,
2019-04-28 09:30:00,8.0,196.0
2019-04-28 09:30:10,,
2019-04-28 09:30:20,,
2019-04-28 09:30:30,7.2,180.0
2019-04-28 09:30:40,,
2019-04-28 09:30:50,,
2019-04-28 09:31:00,7.6,186.0
2019-04-28 09:31:10,,
2019-04-28 09:31:20,,
2019-04-28 09:31:30,6.7,184.0
2019-04-28 09:31:40,,
2019-04-28 09:31:50,,
2019-04-28 09:32:00,7.0,182.0
2019-04-28 09:32:10,,
2019-04-28 09:32:20,,
2019-04-28 09:32:30,5.8,193.0
2019-04-28 09:32:40,,
2019-04-28 09:32:50,,
2019-04-28 09:33:00,6.1,188.0
2019-04-28 09:33:10,,
2019-04-28 09:33:20,,
2019-04-28 09:33:30,7.1,187.0
2019-04-28 09:33:40,,
2019-04-28 09:33:50,,
2019-04-28 09:34:00,6.6,192.0
2019-04-28 09:34:10,,
2019-04-28 09:34:20,,
2019-04-28 09:34:30,7.6,187.0
2019-04-28 09:34:40,,
2019-04-28 09:34:50,,
2019-04-28 09:35:00,6.9,186.0
2019-04-28 09:35:10,,
2019-04-28 09:35:20,,
2019-04-28 09:35:30,7.3,183.0
2019-04-28 09:35:40,,
2019-04-28 09:35:50,,
2019-04-28 09:36:00,6.8,187.0
2019-04-28 09:36:10,,
2019-04-28 09:36:20,,
2019-04-28 09:36:30,7.2,191.0
2019-04-28 09:36:40,,
2019-04-28 09:36:50,,
2019-04-28 09:37:00,7.2,188.0
2019-04-28 09:37:10,,
2019-04-28 09:37:20,,
2019-04-28 09:37:30,9.2,192.0
2019-04-28 09:37:40,,
2019-04-28 09:37:50,,
2019-04-28 09:38:00,7.6,205.0
2019-04-28 09:38:10,,
2019-04-28 09:38:20,,
2019-04-28 09:38:30,9.5,192.0
2019-04-28 09:38:40,,
2019-04-28 09:38:50,,
2019-04-28 09:39:00,8.0,192.0
2019-04-28 09:39:10,,
2019-04-28 09:39:20,,
2019-04-28 09:39:30,8.1,187.0
2019-04-28 09:39:40,,
2019-04-28 09:39:50,,
2019-04-28 09:40:00,6.9,190.0
2019-04-28 09:40:10,,
2019-04-28 09:40:20,,
2019-04-28 09:40:30,6.1,197.0
2019-04-28 09:40:40,,
2019-04-28 09:40:50,,
2019-04-28 09:41:00,7.7,190.0
2019-04-28 09:41:10,,
2019-04-28 09:41:20,,
2019-04-28 09:41:30,8.0,193.0
2019-04-28 09:41:40,,
2019-04-28 09:41:50,,
2019-04-28 09:42:00,8.7,187.0
2019-04-28 09:42:10,,
2019-04-28 09:42:20,,
2019-04-28 09:42:30,8.9,191.0
2019-04-28 09:42:40,,
2019-04-28 09:42:50,,
2019-04-28 09:43:00,8.7,185.0
2019-04-28 09:43:10,,
2019-04-28 09:43:20,,
2019-04-28 09:43:30,7.4,185.0
2019-04-28 09:43:40,,
2019-04-28 09:43:50,,
2019-04-28 09:44:00,8.2,193.0
2019-04-28 09:44:10,,
2019-04-28 09:44:20,,
2019-04-28 09:44:30,8.1,193.0
2019-04-28 09:44:40,,
2019-04-28 09:44:50,,
2019-04-28 09:45:00,5.9,194.0
2019-04-28 09:45:10,,
2019-04-28 09:45:20,,
2019-04-28 09:45:30,8.5,192.0
2019-04-28 09:45:40,,
2019-04-28 09:45:50,,
2019-04-28 09:46:00,6.8,196.0
2019-04-28 09:46:10,,
2019-04-28 09:46:20,,
2019-04-28 09:46:30,8.3,191.0
2019-04-28 09:46:40,,
2019-04-28 09:46:50,,
2019-04-28 09:47:00,7.6,189.0
2019-04-28 09:47:10,,
2019-04-28 09:47:20,,
2019-04-28 09:47:30,8.5,195.0
2019-04-28 09:47:40,,
2019-04-28 09:47:50,,
