FileName,Rename,SiteID,Type,TypeNo
P5010665,C_W2-5_665,W2-5,Cent,3
P5010666,C_W2-5_666,W2-5,Cent,3
P5010667,C_W2-5_667,W2-5,Cent,3
P5010668,C_W2-5_668,W2-5,Cent,3
P5010669,C_W2-5_669,W2-5,Cent,3
P5010670,C_W2-5_670,W2-5,Cent,3
P5010671,C_W2-5_671,W2-5,Cent,3
P5010672,C_W2-5_672,W2-5,Cent,3
P5010673,C_W2-5_673,W2-5,Cent,3
P5010727,C_S1-4_727,S1-4,Cent,3
P5010728,C_S1-4_728,S1-4,Cent,3
P5010729,C_S1-4_729,S1-4,Cent,3
P5010730,C_S1-4_730,S1-4,Cent,3
P5010731,C_S1-4_731,S1-4,Cent,3
P5010732,C_S1-4_732,S1-4,Cent,3
P5010733,C_S1-4_733,S1-4,Cent,3
P5010734,C_S1-4_734,S1-4,Cent,3
P5010735,C_S1-4_735,S1-4,Cent,3
P5010736,C_S1-4_736,S1-4,Cent,3
P5010737,C_S1-4_737,S1-4,Cent,3
P5010760,C_B1_760,B1,Cent,3
P5010761,C_B1_761,B1,Cent,3
P5010762,C_B1_762,B1,Cent,3
P5010763,C_B1_763,B1,Cent,3
P5010764,C_B1_764,B1,Cent,3
P5010765,C_B1_765,B1,Cent,3
P5010766,C_B1_766,B1,Cent,3
P5010767,C_B1_767,B1,Cent,3
P5010768,C_B1_768,B1,Cent,3
P5010769,C_B1_769,B1,Cent,3
P5010770,C_B1_770,B1,Cent,3
P5010771,C_B1_771,B1,Cent,3
P5010772,C_B1_772,B1,Cent,3
P5010774,C_N1-4_774,N1-4,Cent,3
P5010775,C_N1-4_775,N1-4,Cent,3
P5010776,C_N1-4_776,N1-4,Cent,3
P5010777,C_N1-4_777,N1-4,Cent,3
P5010778,C_N1-4_778,N1-4,Cent,3
P5010779,C_N1-4_779,N1-4,Cent,3
P5010780,C_N1-4_780,N1-4,Cent,3
P5010781,C_N1-4_781,N1-4,Cent,3
P5010782,C_N1-4_782,N1-4,Cent,3
P5010783,C_N1-4_783,N1-4,Cent,3
P5010784,C_N1-4_784,N1-4,Cent,3
P5010785,C_N1-4_785,N1-4,Cent,3
P5010786,C_N1-4_786,N1-4,Cent,3
P5010787,C_N1-4_787,N1-4,Cent,3
P5010788,C_N1-4_788,N1-4,Cent,3
P5010789,C_N1-4_789,N1-4,Cent,3
P5021100,L_N3-5_1_0502,N3-5,Litter,1
P5021101,L_N3-5_2_0502,N3-5,Litter,1
P5021102,L_N3-5_3_0502,N3-5,Litter,1
P5021103,L_N3-5_4_0502,N3-5,Litter,1
P5021104,L_N3-5_5_0502,N3-5,Litter,1
P5021169,L_B3_1_0502,B3,Litter,1
P5021170,L_B3_2_0502,B3,Litter,1
P5021171,L_B3_3_0502,B3,Litter,1
P5021172,L_B3_4_0502,B3,Litter,1
P5021173,L_B3_5_0502,B3,Litter,1
P5021215,L_B2_1_0502,B2,Litter,1
P5021216,L_B2_2_0502,B2,Litter,1
P5021217,L_B2_3_0502,B2,Litter,1
P5021218,L_B2_4_0502,B2,Litter,1
P5021219,L_B2_5_0502,B2,Litter,1
P5021318,L_N2-5_1_0502,N2-5,Litter,1
P5021319,L_N2-5_2_0502,N2-5,Litter,1
P5021320,L_N2-5_3_0502,N2-5,Litter,1
P5021321,L_N2-5_4_0502,N2-5,Litter,1
P5021322,L_N2-5_5_0502,N2-5,Litter,1
P5031323,L_N3-5_1_0503,N3-5,Litter,1
P5031324,L_N3-5_2_0503,N3-5,Litter,1
P5031325,L_N3-5_3_0503,N3-5,Litter,1
P5031326,L_N3-5_4_0503,N3-5,Litter,1
P5031327,L_N3-5_5_0503,N3-5,Litter,1
P5031336,L_B3_1_0503,B3,Litter,1
P5031337,L_B3_2_0503,B3,Litter,1
P5031338,L_B3_3_0503,B3,Litter,1
P5031339,L_B3_4_0503,B3,Litter,1
P5031340,L_B2_1_0503,B2,Litter,1
P5031341,L_B2_2_0503,B2,Litter,1
P5031342,L_B2_3_0503,B2,Litter,1
P5031343,L_B2_4_0503,B2,Litter,1
